opis,opis_code,delo,portal_id,name,pages,expected,status
Опись 1,1,0112,112,"Статья К.Э. Циолковского ""Новые двигатели двух типов"" [по материалам главы VIII-й работы ""Основы построения""]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",188,188,ok
Опись 1,1,0113,113,"Статья К.Э. Циолковского ""Второй тип моторов - с запасным кислородным соединением и без воды"". Вид материала: статья Способ воспроизведения: машинопись Языки: русский",17,17,ok
Опись 1,1,0114,114,"Статья К.Э. Циолковского ""Особый прием достижения высших скоростей реактивными летательными машинами"". Вид материала: статья Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",20,20,ok
Опись 1,1,0115,115,"Статья К.Э. Циолковского ""Изобретателям реактивных машин"". Вид материала: статья Способ воспроизведения: автограф, машинопись Языки: русский",24,24,ok
Опись 1,1,0116,116,"Статья К.Э. Циолковского ""Фантазия ли заатмосферные полеты?"". Вид материала: статья Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",52,52,ok
Опись 1,1,0117,117,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава V. Плотность, температура и давление разных слоев атмосферы. Вид материала: монография Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",86,86,ok
Опись 1,1,0118,118,"Статья К.Э. Циолковского ""Авиация, воздухоплавание и ракетоплавание в 20-м веке"". Вид материала: статья Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",16,16,ok
Опись 1,1,0119,119,"Фрагменты статьи К.Э. Циолковского, посвященной космическим полетам. Вид материала: статья, фрагмент Способ воспроизведения: автограф, машинопись Языки: русский",7,7,ok
Опись 1,1,0120,120,"Таблицы К.Э. Циолковского, относящиеся к движению ракеты. Вид материала: таблицы Способ воспроизведения: автограф Языки: русский",7,7,ok
Опись 1,1,0121,121,"Фрагмент статьи К.Э. Циолковского ""Предисловие автора"". Вид материала: смета, фрагмент Способ воспроизведения: автограф Языки: русский",3,3,ok
Опись 1,1,0122,122,"Фрагменты статей К.Э. Циолковского, относящихся к вопросу о реактивных летательных аппаратах. Вид материала: фрагменты Способ воспроизведения: автограф Языки: русский",72,72,ok
Опись 1,1,0123,123,"Статья К.Э. Циолковского ""Теория и опыт аэростата, имеющего в горизонтальном направлении удлиненную форму"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",312,312,ok
Опись 1,1,0124,124,"Статья К.Э. Циолковского Окончание статьи: ""Построение металлического управляемого аэростата на 200 человек"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",33,33,ok
Опись 1,1,0125,125,"Статья К.Э. Циолковского ""О возможности построения металлического аэростата, способного изменять свой объем и даже складываться в плоскость"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",208,208,ok
Опись 1,1,0126,127,"Оглавление, отдельные главы и к работе К.Э. Циолковского ""Аэростат и аэроплан"". Вид материала: главы, монография, оглавление, чертежи Способ воспроизведения: автограф Языки: русский",441,441,ok
Опись 1,1,0127,128,"Статья К.Э. Циолковского ""Воздушный корабль"". [1-й вариант]. Вид материала: статья Способ воспроизведения: автограф Языки: русский",57,57,ok
