portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
674,2,0077б,б/д,,,0,фрагмент мемуаров,"автограф, машинопись"
675,2,0077в,июль 1940,1940,1940,0,статья,машинопись
676,2,0078,сентябрь 1960,1960,1960,0,воспоминания,машинопись
677,2,0079,б/д,,,0,воспоминания,машинопись
678,2,0079а,март 1960,1960,1960,0,статья,машинопись
679,2,0080,б/д,,,0,записи,машинопись
680,2,0081,24.02.1936,1936,1936,0,воспоминания,машинопись
681,2,0082,б/д,,,0,воспоминания,машинопись
682,2,0083,б/д,,,0,очерк,машинопись
683,2,0085,б/д,,,0,схема,автограф
684,2,0085а,16.08.1953,1953,1953,0,статья,машинопись
685,2,0085б,б/д,,,0,статья,машинопись
686,2,0085в,1965,1965,1965,0,очерк,машинопись
687,2,0086,б/д,,,0,воспоминания,машинопись
688,2,0087,сентябрь 1940,1940,1940,0,стенограмма,машинопись
689,2,0087а,1957,1957,1957,0,мемуары,"автограф, машинопись, типографская печать"
690,2,0088,б/д,,,0,воспоминания,машинопись
691,2,0089,б/д,,,0,воспоминания,машинопись
692,2,0090,б/д,,,0,воспоминания,машинопись с правкой автора
693,2,0091,[1938],1938,1938,1,воспоминания,автограф
694,2,0091а,б/д,,,0,воспоминания,рукопись
695,2,0092,[1925-1926] - 17.05.1948,1925,1948,1,воспоминания,"автограф, машинопись"
696,2,0092а,б/д,,,0,воспоминания,рукопись
697,2,0093,1927,1927,1927,0,автобиография,машинопись
698,2,0093а,б/д,,,0,статья,машинопись
699,2,0094,08.09.1935 - октябрь 1936,1935,1936,0,бюллетени,газетные вырезки
700,2,0095,20.09.1935,1935,1935,0,"извещения, некрологи",газетные вырезки
701,2,0096,20.09.1933 - 21.09.1933,1933,1933,0,соболезнования,автограф
702,2,0097,20.09.1935,1935,1935,0,статья,"газетные вырезки, машинопись"
703,2,0098а,1932 - 1977,1932,1977,0,статья,газетные вырезки
704,2,0099,17.09.1967 - 14.02.1970,1967,1970,0,статьи,газетные вырезки
705,2,0100,1936,1936,1936,0,некролог,машинопись
706,2,0101,1936 - 1947,1936,1947,0,афиши,типографская печать
707,2,0102,28.03.1936,1936,1936,0,протокол,машинопись
708,2,0103,1940,1940,1940,0,"обращение, программа, устав",машинопись
709,2,0103а,09.05.1941 - 14.05.1941,1941,1941,0,протокол,машинопись
710,2,0103б,16.05.1952 - 05.05.1953,1952,1953,0,материалы,"машинопись, рукопись"
711,2,0103в,[май 1958] - не ранее декабря 19,1958,1958,1,письма,"машинопись, рукопись"
712,2,0103г,23.08.1960 - 04.03.1961,1960,1961,0,письма,"машинопись, рукопись"
713,2,0103д,15.06.1960,1960,1960,0,письма,машинопись
714,2,0104,02.10.1959,1959,1959,0,письмо,"машинопись, рукопись"
715,2,0105,б/д,,,0,проекты,фото
716,2,0106,1939,1939,1939,0,плакат,типографская печать
717,2,0107,1936,1936,1936,0,отчёт,машинопись
718,2,0108,25.09.1936 - 07.08.1957,1936,1957,0,письма,"автограф, машинопись, рукопись"
719,2,0109,27.10.1936,1936,1936,0,письма,"автограф, машинопись"
720,2,0110,02.07.1938,1938,1938,0,письмо,автограф
721,2,0111,25.06.1939 - 08.06.1943,1939,1943,0,письма,"автограф, машинопись"
722,2,0112,03.09.1941,1941,1941,0,письмо,"автограф, машинопись"
723,2,0113,04.02.1942 - 1943,1942,1943,0,"акт, отчёт","автограф, машинопись"
724,2,0114,б/д,,,0,план,машинопись
725,2,0115,16.07.1961,1961,1961,0,заметка,газетные вырезки
726,2,0116,1941,1941,1941,0,путеводитель,машинопись
727,2,0117,1961,1961,1961,0,путеводитель,типографская печать
728,2,0119,б/д,,,0,каталог,машинопись
729,2,0120,[1861] - [1862],1861,1862,1,фотографии,фото
730,2,0121,1908 - 1909,1908,1909,0,портрет,фото
731,2,0122,1899,1899,1899,0,портрет,фото
732,2,0123,06.07.1902,1902,1902,0,портрет,фото
733,2,0124,1902 - 1903,1902,1903,0,портрет,фото
734,2,0125,09.07.1913,1913,1913,0,фотографии,фото
735,2,0126,лето 1919,1919,1919,0,портрет,фото
736,2,0127,1924,1924,1924,0,портрет,фото
737,2,0128,1927,1927,1927,0,портрет,фото
738,2,0129,[1928],1928,1928,1,фотографии,фото
739,2,0130,1927 - 1929,1927,1929,0,фотографии,фото
740,2,0131,1930,1930,1930,0,портрет,фото
741,2,0132,1930,1930,1930,0,фотографии,фото
742,2,0133,1930,1930,1930,0,фотографии,фото
743,2,0134,[1930],1930,1930,1,фотографии,фото
744,2,0135,1932,1932,1932,0,фотографии,фото
745,2,0136,1932,1932,1932,0,фотографии,фото
746,2,0137,1932 - 1934,1932,1934,0,фотографии,фото
747,2,0138,1933,1933,1933,0,портрет,фото
748,2,0138а,1934,1934,1934,0,фотографии,фото
749,2,0139,1934,1934,1934,0,фотография,фото
750,2,0140,1935,1935,1935,0,фотографии,фото
751,2,0141,08.09.1935,1935,1935,0,фотографии,фото
752,2,0142,1903,1903,1903,0,фотографии,фото
753,2,0143,не ранее 1904,1904,1904,0,фотографии,фото
754,2,0144,1908 - [1932],1908,1932,1,фотографии,фото
755,2,0145,[1914],1914,1914,1,фотографии,фото
756,2,0146,1928,1928,1928,0,фотографии,фото
757,2,0147,1927,1927,1927,0,фотографии,фото
758,2,0148,1930,1930,1930,0,фотография,фото
759,2,0149,1932,1932,1932,0,фотографии,фото
760,2,0150,1933,1933,1933,0,фотографии,фото
761,2,0151,1934,1934,1934,0,фотография,фото
762,2,0151а,б/д,,,0,фотография,фото
763,2,0152,1939,1939,1939,0,фотографии,фото
764,2,0153,б/д,,,0,фотография,фото
765,2,0154,21.09.1935,1935,1935,0,фотографии,фото
766,2,0155,сентябрь 1935 - октябрь1935,1935,1935,0,фотографии,фото
767,2,0156,1929,1929,1929,0,фотографии,фото
768,2,0157,1932 - 1936,1932,1936,0,фотографии,фото
769,2,0157а,1936,1936,1936,0,фотографии,фото
770,2,0158,18.09.1935,1935,1935,0,фотография,фото
771,2,0158а,,,,0,фотографии,фото
772,2,0159,1936,1936,1936,0,фотографии,фото
773,2,0160,1936,1936,1936,0,фотографии,фото
774,2,0161,1936 - 1939,1936,1939,0,фотографии,фото
775,2,0162,1937,1937,1937,0,фотографии,фото
