opis,delo,pages_expected,status,title,source_url
Опись 4,797,4,ok,"Письмо начальника лаборатории полигона А.С. Добросердова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1808
Опись 4,798,6,ok,"Письмо табельщика А.И. Донского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1809
Опись 4,799,3,ok,"Письмо С. Дойникова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1810
Опись 4,800,4,ok,"Письмо Петра Ивановича Докучаева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1811
Опись 4,801,4,ok,"Письмо Л. Дорикова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1812
Опись 4,802,3,ok,"Письмо доктора Льва Львовича Дорфмана к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1813
Опись 4,803,3,ok,"Письмо командира батальона Дьяченко к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1814
Опись 4,804,5,ok,"Письмо доцента Московского института стали А.М. Дымова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1815
Опись 4,805,4,ok,"Письмо В. Егорова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1816
Опись 4,805a,6,ok,"Письмо помощника инженера Николая Николаевича Еленина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1817
Опись 4,806,5,ok,"Письмо А. Жучкова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1818
Опись 4,807,5,ok,"Письмо С. Заболотнова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1819
Опись 4,808,14,ok,"Письма Николая Васильевича Заикина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письма Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1820
Опись 4,809,7,ok,"Письмо С. Закрасина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1821
Опись 4,810,4,ok,"Письмо начальника административно-хозяйственного сектора Автоснаба Константина Константиновича Запрудского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1822
Опись 4,811,4,ok,"Письмо школьника В. Звезденкова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1823
Опись 4,812,4,ok,"Письмо преподавателей средней школы А.М. Звягина и Д.П. Свечникова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1824
Опись 4,813,3,ok,"Письмо С.М. Иванова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1825
Опись 4,814,4,ok,"Письмо Ивана Андреевича Ильина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1826
Опись 4,815,5,ok,"Письмо Л.Н. Ильинского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1827
Опись 4,816,3,ok,"Письмо Исаевых к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1828
Опись 4,817,6,ok,"Письмо Михаила Васильевича Каменева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1829
Опись 4,818,3,ok,"Письмо К.Н. Каневского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1830
Опись 4,819,4,ok,"Письмо зоотехника В. Каплана к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1831
Опись 4,820,5,ok,"Письмо А.С. Карапыша к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1832
Опись 4,821,5,ok,"Письмо Алексея Петровича Каширина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1833
Опись 4,822,3,ok,"Письмо М. Кашириной к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1834
Опись 4,823,3,ok,"Письмо Евгения Кеммерлинга к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1835
Опись 4,824,3,ok,"Письмо учащихся Б. Китаева и А. Бутченко к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1836
Опись 4,825,4,ok,"Письмо врача Китаина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1837
Опись 4,826,3,ok,"Письмо К. Ковалевского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1838
Опись 4,827,6,ok,"Письмо красноармейца Николая Антоновича Козореза к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1839
Опись 4,828,5,ok,"Письмо Веры Козьяковой к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1840
Опись 4,829,4,ok,"Письмо техника А.Д. Кокорева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1841
Опись 4,830,9,ok,"Письмо Колотенкова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1842
Опись 4,831,4,ok,"Письмо З.И. Комарова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1843
Опись 4,832,4,ok,"Письмо учителя С.П. Комарова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1844
Опись 4,833,4,ok,"Письмо А. Копрова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1845
Опись 4,834,3,ok,"Письмо В.В. Корнаушкина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1846
Опись 4,835,3,ok,"Письмо А.М. Костякова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: английский, русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1847
Опись 4,836,3,ok,"Письмо счетовода Людмилы Кошкиной к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1848
Опись 4,837,6,ok,"Письмо Николая Леонидовича Краснова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1849
Опись 4,838,4,ok,"Письмо Б. Кругина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1850
Опись 4,839,3,ok,"Письмо А. Кулешовой к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1851
Опись 4,840,6,ok,"Письмо ученого, секретаря Комитета по метеоритам АН СССР Л.А. Кулика к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1852
Опись 4,840a,7,ok,"Письма А. Куракиной к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письма Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1853
Опись 4,841,3,ok,"Письмо Р.А. Курса к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1854
