delo,hand,typed,words_hand,words_typed,ratio,longest_run
delo_0283,029,062,77,198,0.327,10
delo_0046,139,083,118,338,0.325,9
delo_0105,043,074,62,172,0.325,20
delo_0046,045,084,116,342,0.323,17
delo_0046,072,093,97,214,0.322,5
delo_0071,008,097,86,208,0.32,12
delo_0114,002,016,70,237,0.319,16
delo_0046,142,084,111,342,0.318,11
delo_0105,053,116,66,223,0.318,18
delo_0046,112,073,97,269,0.317,19
delo_0105,024,068,67,199,0.316,7
delo_0105,025,107,63,209,0.316,16
delo_0283,007,052,61,173,0.316,7
delo_0046,034,079,95,324,0.315,19
delo_0105,040,112,105,216,0.312,46
delo_0046,150,085,119,333,0.31,8
delo_0105,031,108,84,227,0.309,8
delo_0046,029,077,132,369,0.307,23
delo_0115,006,012,70,217,0.307,11
delo_0114,011,018,76,245,0.305,9
delo_0105,046,075,68,229,0.303,10
delo_0046,117,075,90,295,0.301,12
delo_0283,025,060,90,202,0.301,8
delo_0535,001,037,71,215,0.301,6
delo_0046,166,090,116,357,0.3,45
delo_0114,005,017,76,257,0.3,8
delo_0046,131,079,104,324,0.299,19
delo_0105,045,075,94,229,0.297,21
delo_0283,031,063,85,205,0.297,28
delo_0535,003,037,81,215,0.297,13
delo_0071,010,097,285,208,0.296,21
delo_0105,038,072,60,197,0.296,7
delo_0046,048,085,122,333,0.295,9
delo_0046,136,081,102,388,0.294,11
delo_0105,006,080,78,174,0.294,8
delo_0046,157,087,112,380,0.293,12
delo_0116,004,036,105,183,0.292,7
delo_0046,058,088,127,326,0.291,12
delo_0046,158,087,114,380,0.291,12
delo_0046,026,076,98,316,0.29,16
delo_0046,046,084,106,342,0.29,10
delo_0046,022,075,92,295,0.289,7
delo_0105,008,103,72,246,0.289,12
delo_0283,011,054,74,197,0.288,15
delo_0046,030,077,120,369,0.286,14
delo_0105,047,075,58,229,0.286,6
delo_0046,125,077,122,369,0.285,15
delo_0105,054,077,69,226,0.285,9
delo_0046,044,083,113,338,0.284,10
delo_0046,039,081,102,388,0.282,15
delo_0281,007,001,81,167,0.282,5
delo_0283,016,056,85,206,0.282,7
delo_0105,039,072,81,197,0.281,11
delo_0046,047,084,101,342,0.28,11
delo_0038,001,004,254,97,0.279,7
delo_0046,141,083,113,338,0.279,10
delo_0534,006,002,266,121,0.279,8
delo_0046,152,085,135,333,0.278,8
delo_0046,170,092,107,282,0.278,22
delo_0046,064,090,128,357,0.276,13
delo_0046,143,084,123,342,0.275,9
delo_0283,010,053,75,166,0.274,5
delo_0046,054,087,110,380,0.273,8
delo_0046,153,086,115,368,0.273,10
delo_0283,018,057,102,206,0.273,17
delo_0114,004,016,65,237,0.272,9
delo_0283,020,057,95,206,0.272,10
delo_0535,015,039,62,250,0.269,9
delo_0105,042,073,72,227,0.268,8
delo_0046,055,087,100,380,0.267,11
delo_0283,015,055,65,212,0.267,9
delo_0535,007,038,77,238,0.267,9
delo_0046,121,076,97,316,0.266,8
delo_0067,038,037,201,198,0.266,6
delo_0105,057,078,62,156,0.266,6
delo_0114,014,019,72,191,0.266,8
delo_0046,057,088,98,326,0.264,8
delo_0046,124,077,121,369,0.261,9
delo_0114,006,017,65,257,0.261,9
delo_0046,060,089,109,253,0.26,6
delo_0046,155,086,127,368,0.259,9
delo_0046,123,077,103,369,0.258,9
delo_0046,135,081,115,388,0.258,10
delo_0114,013,019,88,191,0.258,12
delo_0045,110,038,125,194,0.257,6
delo_0535,013,039,77,250,0.257,10
delo_0046,028,077,108,369,0.256,12
delo_0046,137,081,104,388,0.256,12
delo_0535,011,038,76,238,0.255,4
delo_0046,050,085,115,333,0.254,7
delo_0046,019,074,122,321,0.253,29
delo_0046,040,081,103,388,0.253,11
delo_0534,003,001,212,67,0.251,6
delo_0046,172,093,106,214,0.25,25
